latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,105.75,4,25200,Asia/Bangkok,7
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),pressure_msl (hPa),
2024-08-27T11:00,34.4,55,0,1006.1,
2024-08-27T12:00,35.4,51,0,1005.4,
2024-08-27T13:00,36.6,47,0,1004.5,
2024-08-27T14:00,36.2,51,0,1004.3,
2024-08-27T15:00,33.2,62,0,1004.1,
2024-08-27T16:00,33.6,57,0,1003.5,
2024-08-27T17:00,33.1,59,0,1003.2,
2024-08-27T18:00,32.4,62,0,1004,
2024-08-27T19:00,31.8,67,0,1004,
2024-08-27T20:00,30.9,73,0,1005.3,
2024-08-27T21:00,30.2,78,0,1006.1,
2024-08-27T22:00,29.8,81,0,1006.6,
2024-08-27T23:00,29.5,82,0,1006.7,
2024-08-28T00:00,29.2,84,0,1006.2,
2024-08-28T01:00,28.8,84,0,1005.7,
2024-08-28T02:00,28.4,85,0,1004.9,
2024-08-28T03:00,28.2,85,0,1004.6,
2024-08-28T04:00,27.8,85,0,1004.5,
2024-08-28T05:00,27.5,86,0,1004.6,
2024-08-28T06:00,27.2,86,0,1005,
2024-08-28T07:00,28.7,83,0,1005.9,
2024-08-28T08:00,30.9,70,0,1006.6,
2024-08-28T09:00,32.8,60,0,1006.5,
2024-08-28T10:00,34.3,53,0,1006.4,
2024-08-28T11:00,35.7,48,0,1005.6,
2024-08-28T12:00,36.8,45,0,1004.4,
2024-08-28T13:00,37.9,41,0,1003.1,
2024-08-28T14:00,37.6,43,0,1002.1,
2024-08-28T15:00,36,51,0,1001.8,
2024-08-28T16:00,34.9,53,0,1001.6,
2024-08-28T17:00,34,54,0,1001.8,
2024-08-28T18:00,32.7,60,0,1002.3,
2024-08-28T19:00,31.5,68,0,1002.8,
2024-08-28T20:00,30.9,71,0,1003.7,
2024-08-28T21:00,30.2,75,0,1004.3,
2024-08-28T22:00,29.6,79,0,1004.8,
2024-08-28T23:00,29.2,83,0,1004.9,
2024-08-29T00:00,28.8,84,0,1004.9,
2024-08-29T01:00,28.6,86,0,1004.2,
2024-08-29T02:00,28.5,84,0,1003.7,
2024-08-29T03:00,28.3,84,0,1003.5,
2024-08-29T04:00,28,83,0,1003.7,
2024-08-29T05:00,27.8,83,0,1003.9,
2024-08-29T06:00,27.5,84,0,1004,
2024-08-29T07:00,28.8,83,0,1004.7,
2024-08-29T08:00,31.4,68,0,1005,
2024-08-29T09:00,33.2,59,0,1005.1,
2024-08-29T10:00,34.7,53,0,1004.8,
2024-08-29T11:00,36.2,48,0,1004.2,
2024-08-29T12:00,37.4,44,0,1003.7,
2024-08-29T13:00,38.5,38,0,1002.9,
2024-08-29T14:00,38.9,37,0,1001.8,
2024-08-29T15:00,37.5,44,0,1001.6,
2024-08-29T16:00,35.3,52,0,1001.7,
2024-08-29T17:00,34.9,53,0,1002.4,
